product_id;movie_id;movie_title;price;image;actors;Kategoria;Powiązania;Kraj wydania;Reżyseria;Obsada;Polska wersja;Opis;EAN;Dział;Data premiery;Tytuł oryginalny;Kraj;Rok produkcji;Scenariusz;Kategoria wiekowa (MPAA);Czas trwania;Dodatki;Obraz;Video;Rozdzielczość;Region Blu-Ray;Opakowanie;Liczba nośników
31;1745960;Top Gun: Maverick [Blu-Ray 4K];123.86;http://localhost/Kino/prestashop/img/p/31/31.jpg;Val Kilmer,Ed Harris,Tom Cruise,Jon Hamm,James Handy,Jennifer Connelly,Bob Stephenson,Glen Powell,Rachel Winfree,Charles Parnell,James Quach,Jean Louisa Kelly,Miles Teller,Jay Ellis,Nancy DeMars,Brandon Rush,Rachael Markarian,Mobin Khan,Raymond Lee,Kevin Pitcairn,Bashir Salahuddin,Chelsea Harris,Manny Jacinto,John Luder,Gerren Hall,Peter Mark Kendall,Brian Ferguson,Shannon Kane,Jake Picking,Lewis Pullman,Roberta Sparta,Jason Woods,Adam Pepper,Randy Davison,Monica Barbaro,Danny Ramirez,Sergio Briones,Andre Franco,Molly Malin,Chido Nwokocha,Conny Sharp,Austin Bowerman,Joseph Aro,Ernesto Chaverri,Carl Collanus,India Everett,Daniel Aryeh,Landon Gordon,Dana Byrne,Darnell Kirkwood,Ian Gary,Jennifer Messina,Tom Parks,Charlotte Xia,Stephanie Andrea Barron,Douglas Rouillard,Whylip Lee,Penelope Kapudija,Orion James,John Wilcox,Mark Anthony Cox,Kara Wang,Ghadir,Alexandra Kirr,Greg Tarzan Davis,Alexandra Williams,Catherine Shrader Taylor,Chaz Ingram,Madison A. Taylor,Tristan Henry,Doug Lito,Giulia Lupetti,Jack Emmel,Nicole Gilbert,Giancarlo Sta Cruz,Lyliana Wray,Skylar Witte,Jack Schumacher,Ari Huber,Leland Campbell,Alec Williams,John Visser,Janett Salas,John-Jonne Smith,Travis Fitzgerald,Amy S. Johnson,Ryan Kanfer,John Stableforth,Margatet Strabala,Ryan Heilmann,Shantel Limbo,Jason Robert Boles,Norman Ralph Eliasen,Jillian Moray,Lady Conny Sharples,Jill Pancio,Wyomi Reed,Filip Sertic;Dramaty , Akcja;Top Gun: Maverick;Polska;Joseph Kosinski;Val Kilmer, Ed Harris, Tom Cruisewięcej;lektornapisy;Po ponad trzydziestu latach w służbie amerykańskiej marynarki wojennej, jej czołowy pilot, Pete "Maverick" Mitchell jest tam, gdzie być powinien. Jako mistrz w swoim fachu testuje najnowocześniejsze maszyny. Kiedy powraca do TOP GUN, by wyszkolić elitarną grupę absolwentów musi zmierzyć się z duchami przeszłości i stanąć twarzą w twarz z porucznikiem Bradshawem, synem swojego zmarłego przyjaciela "Goose'a". Zaciekła rywalizacja wybucha, gdy piloci przygotowują się do misji. Od wybranych będzie ona wymagała największego poświęcenia.;7321956517477;BLU-RAY 4K;2022-10-31;Top Gun: Maverick 4K;USA, Chiny;2022, 2021;Ehren Kruger, Christopher McQuarrie, Peter Craig, Jim Cash, Jack Epps Jr., Eric Warren Singer, Justin Marks;PG-13;130;bezpośredni dostęp do scen, menu interaktywne;16:9;HDR10;4K;A, B, C;blu-ray case;[1xBLU-RAY 4K]
32;1745960;Top Gun: Maverick [DVD];39.11;http://localhost/Kino/prestashop/img/p/32/32.jpg;Val Kilmer,Ed Harris,Tom Cruise,Jon Hamm,James Handy,Jennifer Connelly,Bob Stephenson,Glen Powell,Rachel Winfree,Charles Parnell,James Quach,Jean Louisa Kelly,Miles Teller,Jay Ellis,Nancy DeMars,Brandon Rush,Rachael Markarian,Mobin Khan,Raymond Lee,Kevin Pitcairn,Bashir Salahuddin,Chelsea Harris,Manny Jacinto,John Luder,Gerren Hall,Peter Mark Kendall,Brian Ferguson,Shannon Kane,Jake Picking,Lewis Pullman,Roberta Sparta,Jason Woods,Adam Pepper,Randy Davison,Monica Barbaro,Danny Ramirez,Sergio Briones,Andre Franco,Molly Malin,Chido Nwokocha,Conny Sharp,Austin Bowerman,Joseph Aro,Ernesto Chaverri,Carl Collanus,India Everett,Daniel Aryeh,Landon Gordon,Dana Byrne,Darnell Kirkwood,Ian Gary,Jennifer Messina,Tom Parks,Charlotte Xia,Stephanie Andrea Barron,Douglas Rouillard,Whylip Lee,Penelope Kapudija,Orion James,John Wilcox,Mark Anthony Cox,Kara Wang,Ghadir,Alexandra Kirr,Greg Tarzan Davis,Catherine Shrader Taylor,Alexandra Williams,Chaz Ingram,Madison A. Taylor,Tristan Henry,Doug Lito,Giulia Lupetti,Jack Emmel,Nicole Gilbert,Giancarlo Sta Cruz,Lyliana Wray,Skylar Witte,Jack Schumacher,Ari Huber,Leland Campbell,Alec Williams,John Visser,Janett Salas,John-Jonne Smith,Travis Fitzgerald,Amy S. Johnson,Ryan Kanfer,John Stableforth,Margatet Strabala,Ryan Heilmann,Shantel Limbo,Jason Robert Boles,Norman Ralph Eliasen,Jillian Moray,Lady Conny Sharples,Jill Pancio,Wyomi Reed,Filip Sertic;Akcja , Sensacyjne , Dramaty;Top Gun: Maverick;Polska;Joseph Kosinski;Val Kilmer, Ed Harris, Tom Cruisewięcej;lektornapisy;Po ponad trzydziestu latach w służbie amerykańskiej marynarki wojennej, jej czołowy pilot, Pete "Maverick" Mitchell jest tam, gdzie być powinien. Jako mistrz w swoim fachu testuje najnowocześniejsze maszyny. Kiedy powraca do TOP GUN, by wyszkolić elitarną grupę absolwentów musi zmierzyć się z duchami przeszłości i stanąć twarzą w twarz z porucznikiem Bradshawem, synem swojego zmarłego przyjaciela "Goose'a". Zaciekła rywalizacja wybucha, gdy piloci przygotowują się do misji. Od wybranych będzie ona wymagała największego poświęcenia.;7321955517485;DVD;2022-10-31;Top Gun: Maverick;USA, Chiny;2022, 2021;Ehren Kruger, Christopher McQuarrie, Peter Craig, Jim Cash, Jack Epps Jr., Eric Warren Singer, Justin Marks;PG-13;125;bezpośredni dostęp do scen, menu interaktywne;16:9;;;;keep case;[1xDVD]
33;1745960;Top Gun: Maverick [Blu-Ray];87.3;http://localhost/Kino/prestashop/img/p/33/33.jpg;Val Kilmer,Ed Harris,Tom Cruise,Jon Hamm,James Handy,Jennifer Connelly,Bob Stephenson,Glen Powell,Rachel Winfree,Charles Parnell,James Quach,Jean Louisa Kelly,Miles Teller,Jay Ellis,Nancy DeMars,Brandon Rush,Rachael Markarian,Mobin Khan,Raymond Lee,Kevin Pitcairn,Bashir Salahuddin,Chelsea Harris,Manny Jacinto,John Luder,Gerren Hall,Peter Mark Kendall,Brian Ferguson,Shannon Kane,Jake Picking,Lewis Pullman,Roberta Sparta,Jason Woods,Adam Pepper,Randy Davison,Monica Barbaro,Danny Ramirez,Sergio Briones,Andre Franco,Molly Malin,Chido Nwokocha,Conny Sharp,Austin Bowerman,Joseph Aro,Ernesto Chaverri,Carl Collanus,India Everett,Daniel Aryeh,Landon Gordon,Dana Byrne,Darnell Kirkwood,Ian Gary,Jennifer Messina,Tom Parks,Charlotte Xia,Stephanie Andrea Barron,Douglas Rouillard,Whylip Lee,Penelope Kapudija,Orion James,John Wilcox,Mark Anthony Cox,Kara Wang,Ghadir,Alexandra Kirr,Greg Tarzan Davis,Alexandra Williams,Catherine Shrader Taylor,Chaz Ingram,Madison A. Taylor,Tristan Henry,Doug Lito,Giulia Lupetti,Jack Emmel,Nicole Gilbert,Giancarlo Sta Cruz,Lyliana Wray,Skylar Witte,Jack Schumacher,Ari Huber,Leland Campbell,Alec Williams,John Visser,Janett Salas,John-Jonne Smith,Travis Fitzgerald,Amy S. Johnson,Ryan Kanfer,John Stableforth,Margatet Strabala,Ryan Heilmann,Shantel Limbo,Jason Robert Boles,Norman Ralph Eliasen,Jillian Moray,Lady Conny Sharples,Jill Pancio,Wyomi Reed,Filip Sertic;Dramaty , Akcja;Top Gun: Maverick;Polska;Joseph Kosinski;Val Kilmer, Ed Harris, Tom Cruisewięcej;lektornapisy;Po ponad trzydziestu latach w służbie amerykańskiej marynarki wojennej, jej czołowy pilot, Pete "Maverick" Mitchell jest tam, gdzie być powinien. Jako mistrz w swoim fachu testuje najnowocześniejsze maszyny. Kiedy powraca do TOP GUN, by wyszkolić elitarną grupę absolwentów musi zmierzyć się z duchami przeszłości i stanąć twarzą w twarz z porucznikiem Bradshawem, synem swojego zmarłego przyjaciela "Goose'a". Zaciekła rywalizacja wybucha, gdy piloci przygotowują się do misji. Od wybranych będzie ona wymagała największego poświęcenia.;7321956496055;BLU-RAY;2022-10-31;Top Gun: Maverick;USA, Chiny;2022, 2021;Ehren Kruger, Christopher McQuarrie, Peter Craig, Jim Cash, Jack Epps Jr., Eric Warren Singer, Justin Marks;PG-13;130;bezpośredni dostęp do scen, menu interaktywne;16:9;;1080p;B;blu-ray case;[1xBLU-RAY]
34;13162484;Listy do M. 4 [DVD];33.99;http://localhost/Kino/prestashop/img/p/34/34.jpg;Janusz Chabior,Borys Szyc,Cezary Pazura,Robert Wabich,Piotr Adamczyk,Danuta Stenka,Eryk Lubos,Tomasz Karolak,Izabela Kuna,Pawel Burczyk,Magdalena Smalara,Stanislaw Brudny,Cezary Kosinski,Magdalena Rózczka,Rafal Zawierucha,Magdalena Boczarska,Mariusz Slupinski,Anna Smolowik,Joanna Kurowska,Kinga Ciesielska,Robert Mazurkiewicz,Tomira Kowalik,Bartlomiej Nowosielski,Wojciech Malajkat,Monika Pikula,Aleksander Janiszewski,Klaudiusz Kaufmann,Agnieszka Dygant,Piotr Lukaszczyk,Krzysztof Ogonek,Pawel Okonski,Ewa Zlotowska,Irena Melcer,Robert Talarczyk,Barbara Wrzesinska,Weronika Asinska,Marcin Gawel,Grzegorz Palkowski,Michal Zielinski,Maria Kania,Andrzej Oksza-Lapicki,Kaja Walden,Weronika Wachowska,Vanessa Aleksander,Mateusz Winek,Dominika Buczek,Joanna Gryga,Halina Jablonowska,Marcin Bubólka,Rozalia Mierzicka,Wojciech Wilinski,Andrzej Bychowski,Marta Dutkiewicz,Piotr Gawron-Jedlikowski,Damian Sosnowski,Tomasz Taranta,Barbara Kobrzynska,Barbara Mioduszewska,Joanna Pocica,Bruno Tomczyk,Aleksandra Zagrodzka,Sylwia Achu,Julia Chetnicka,Anna Maria Guzik,Paulina Kondrak,Oliwia Tarachimowicz,Matylda Radosz,Klaudia Koscista,Jakub Malesa,Ignacy Majewski,Dorota Ruskowska,Jakub Strach,Helena Urbanska;Komedie , Komedie (polskie);Filmy polskie na DVD i Blu-ray,                                            Polskie produkcje - Nowości,                                             Świąteczne Evergreeny;Polska;Patrick Yoka;Janusz Chabior, Borys Szyc, Cezary Pazurawięcej;polska produkcja;"Listy do M. 4" to nowa odsłona serii, której pierwsze trzy części przyciągnęły do kin blisko 9 milionów widzów. Uwielbiani bohaterowie wracają. Ich losy znów splotą się w przeddzień Bożego Narodzenia, a nowe postaci wywrócą ich życie do góry nogami.Gdy zbliża się Wigilia, wszystko może się zdarzyć! Nieoczekiwane zauroczenie, przerwane zaręczyny czy nieplanowane spotkanie sprawią, że bohaterowie na nowo będą musieli zdefiniować, czym jest dla nich "miłość do bliźniego". Świat Mela, Szczepana, Kariny i Wojciecha znów stanie na głowie? Między Karolinę i Filipa wkroczy nowa kobieta, a o Rudolfa upomni się przeszłość. W tym czasie nawet nieśmiały introwertyk wyjdzie z domu, a zbuntowany pechowiec okaże się muzycznym diamentem. Święta to magia, wystarczy dać jej szansę!;5906190327284;DVD;2021-10-25;Listy do M. 4;Polska;2021;Marcin Baczynski, Mariusz Kuczewski;PG-13;111;bezpośredni dostęp do scen, menu interaktywne;2,39:1 anamorficzny, 16:9;;;;keep case;[1xDVD]
35;1745960;Top Gun: Kolekcja 2 Filmów [2xBlu-Ray];129.99;http://localhost/Kino/prestashop/img/p/35/35.jpg;Val Kilmer,Ed Harris,Tom Cruise,Jon Hamm,James Handy,Jennifer Connelly,Bob Stephenson,Glen Powell,Rachel Winfree,Charles Parnell,James Quach,Jean Louisa Kelly,Miles Teller,Jay Ellis,Nancy DeMars,Brandon Rush,Rachael Markarian,Mobin Khan,Raymond Lee,Kevin Pitcairn,Bashir Salahuddin,Chelsea Harris,Manny Jacinto,John Luder,Gerren Hall,Peter Mark Kendall,Brian Ferguson,Shannon Kane,Jake Picking,Lewis Pullman,Roberta Sparta,Jason Woods,Adam Pepper,Randy Davison,Monica Barbaro,Danny Ramirez,Sergio Briones,Andre Franco,Molly Malin,Chido Nwokocha,Conny Sharp,Austin Bowerman,Joseph Aro,Ernesto Chaverri,Carl Collanus,India Everett,Daniel Aryeh,Landon Gordon,Dana Byrne,Darnell Kirkwood,Ian Gary,Jennifer Messina,Tom Parks,Charlotte Xia,Stephanie Andrea Barron,Douglas Rouillard,Whylip Lee,Penelope Kapudija,Orion James,John Wilcox,Mark Anthony Cox,Kara Wang,Ghadir,Alexandra Kirr,Greg Tarzan Davis,Alexandra Williams,Catherine Shrader Taylor,Chaz Ingram,Madison A. Taylor,Tristan Henry,Doug Lito,Giulia Lupetti,Jack Emmel,Nicole Gilbert,Giancarlo Sta Cruz,Lyliana Wray,Skylar Witte,Jack Schumacher,Ari Huber,Leland Campbell,Alec Williams,John Visser,Janett Salas,John-Jonne Smith,Travis Fitzgerald,Amy S. Johnson,Ryan Kanfer,John Stableforth,Margatet Strabala,Ryan Heilmann,Shantel Limbo,Jason Robert Boles,Norman Ralph Eliasen,Jillian Moray,Lady Conny Sharples,Jill Pancio,Wyomi Reed,Filip Sertic;Akcja , Dramaty;Top Gun: Maverick;Polska;Joseph Kosinski;Val Kilmer, Ed Harris, Tom Cruisewięcej;lektornapisy;Po ponad trzydziestu latach w służbie amerykańskiej marynarki wojennej, jej czołowy pilot, Pete "Maverick" Mitchell jest tam, gdzie być powinien. Jako mistrz w swoim fachu testuje najnowocześniejsze maszyny. Kiedy powraca do TOP GUN, by wyszkolić elitarną grupę absolwentów musi zmierzyć się z duchami przeszłości i stanąć twarzą w twarz z porucznikiem Bradshawem, synem swojego zmarłego przyjaciela "Goose'a". Zaciekła rywalizacja wybucha, gdy piloci przygotowują się do misji. Od wybranych będzie ona wymagała największego poświęcenia.;7321956446173;BLU-RAY;2022-10-31;Top Gun 2 Movie Collection;USA, Chiny;2021, 2022;Ehren Kruger, Christopher McQuarrie, Peter Craig, Jim Cash, Jack Epps Jr., Eric Warren Singer, Justin Marks;PG-13;130;bezpośredni dostęp do scen, menu interaktywne;16:9;;1080p;B;blu-ray case;[2xBLU-RAY]
36;91203;Nieśmiertelny [Blu-Ray 4K];109.99;http://localhost/Kino/prestashop/img/p/36/36.jpg;Clancy Brown,James Cosmo,Celia Imrie,Jon Polito,Sean Connery,Christopher Lambert,Hugh Quarshie,Louis Guss,Damien Leake,Roxanne Hart,Christopher Malcolm,Beatie Edney,Peter Diamond,Gordon Sterne,Sheila Gish,Buckley Norris,Ted Maynard,Ian Reddington,Alan North,Sion Tudor Owen,Ron Berglas,Edward Wiley,John Cassady,Alistair Findlay,Ian Tyler,Peter Banks,James McKenna,Anthony Mannino,Anthony Fusco,Corinne Russell,Billy Hartman,Helena Stevens,Nicola Ramsey,Waldo Roeg,Francis Dux,Prince Howell;Akcja , Fantasy , Przygodowe;Nieśmiertelny;Polska;Russell Mulcahy;Clancy Brown, James Cosmo, Celia Imriewięcej;lektornapisy;Connor MacLeod jest nieśmiertelny. To jego dar i przekleństwo. Raniony w walkach nie ginie, ale musi patrzeć jak przemijają jego ukochani. Od ponad 400 lat tuła się po świecie tocząc pojedynki, walcząc w bitwach i obserwując zmienne koleje historii. Wie, że gdzieś u kresu tej drogi czeka go najważniejsza walka z ostatnim z nieśmiertelnych. Zasada jest prosta: nieśmiertelni na przestrzeni wieków walczą ze sobą, eliminując się nawzajem. Ostatni dwaj stoczą zaś bój o Wielką Nagrodę. Jest koniec XX wieku, Nowy Jork, Connor już wie, że zostało ich tylko dwóch. Zbliża się ostateczne rozstrzygnięcie.;5903018622613;BLU-RAY 4K;2022-11-24;Highlander Blu-Ray 4K;Wielka Brytania;1986;Gregory Widen, Larry Ferguson, Peter Bellwood;TV-14;116;bezpośredni dostęp do scen, menu interaktywne;16:9, 1,85:1 anamorficzny;;4K;A, B, C;blu-ray case;[1xBLU-RAY 4K]
37;83944;Rambo Trylogia [3xBlu-Ray];179.99;http://localhost/Kino/prestashop/img/p/37/37.jpg;Sylvester Stallone,Chris Mulkey,Bruce Greenwood,Brian Dennehy,John McLiam,Bill McKinney,Stephen E. Miller,Richard Crenna,Alf Humphreys,Don MacKay,Charles A. Tamburro,Michael Talbott,Stephen Dimopoulos,David Caruso,Gary Hetherington,Alex Kliner,David Petersen,David L. Crowley,Jack Starrett,Donald Adams,Raimund Stamm,Patrick Stack,Robert Metcalfe,Mike Winlaw,Craig Huston,Ian Hutchinson,Amy Alexander,R.G. Miller,Earl Klein,Danny Wozna,Peter Lonstrup,David Menzies,Frank Richter,Grahman L. Galativk;Przygodowe , Akcja , Thrillery;Wybuchowy pakiet Rambo,                                            Rambo - wszystkie części na 4K Ultra HD, Blu-Ray i DVD!;Polska;Ted Kotcheff;Sylvester Stallone, Chris Mulkey, Bruce Greenwoodwięcej;lektornapisy;;5903018622590;BLU-RAY;2022-11-24;Rambo Trilogy: Rambo First Blood / Rambo II / Rambo III;USA;1982;Sylvester Stallone, David Morrell, William Sackheim, Michael Kozoll;TV-MA;93, 95, 101;bezpośredni dostęp do scen, menu interaktywne;;;1080p;B;blu-ray case;[3xBLU-RAY]
